time,received,sent
2022-06-23 10:42:28,94.43709,-26893.2
2022-06-23 10:42:27,233.2982,-66157.23
2022-06-23 10:42:26,68.73781,-18681.41
2022-06-23 10:42:25,2.222865,-2.092108
2022-06-23 10:42:24,0,0
2022-06-23 10:42:23,0,0
2022-06-23 10:42:22,0,0
2022-06-23 10:42:21,0,0
2022-06-23 10:42:20,0,0
2022-06-23 10:42:19,0,0
2022-06-23 10:42:18,0,0
2022-06-23 10:42:17,0,0
2022-06-23 10:42:16,0,0
2022-06-23 10:42:15,0,0
2022-06-23 10:42:14,0,0
2022-06-23 10:42:13,0,0
2022-06-23 10:42:12,0,0
2022-06-23 10:42:11,0,0
2022-06-23 10:42:10,0,0
2022-06-23 10:42:09,0,0
2022-06-23 10:42:08,0,0
2022-06-23 10:42:07,0,0
2022-06-23 10:42:06,0,0
2022-06-23 10:42:05,0,0
2022-06-23 10:42:04,0,0
2022-06-23 10:42:03,0,0
2022-06-23 10:42:02,0,0
2022-06-23 10:42:01,0,0
2022-06-23 10:42:00,0,0
2022-06-23 10:41:59,0,0
2022-06-23 10:41:58,0.7963304,-0.8320632
2022-06-23 10:41:57,1.69967,-1.775937
2022-06-23 10:41:56,0,0
2022-06-23 10:41:55,0,0
2022-06-23 10:41:54,0,0
2022-06-23 10:41:53,0,0
2022-06-23 10:41:52,0,0
2022-06-23 10:41:51,0,0
2022-06-23 10:41:50,0,0
2022-06-23 10:41:49,0,0
2022-06-23 10:41:48,0,0
2022-06-23 10:41:47,0,0
2022-06-23 10:41:46,0,0
2022-06-23 10:41:45,0.1990589,-0.3419731
2022-06-23 10:41:44,0.4249411,-0.7300269
2022-06-23 10:41:43,0,0
2022-06-23 10:41:42,0,0
2022-06-23 10:41:41,0,0
2022-06-23 10:41:40,0,0
2022-06-23 10:41:39,0,0
2022-06-23 10:41:38,0,0
2022-06-23 10:41:37,0,0
2022-06-23 10:41:36,0,0
2022-06-23 10:41:35,0,0
2022-06-23 10:41:34,0,0
2022-06-23 10:41:33,0,0
2022-06-23 10:41:32,0,0
2022-06-23 10:41:31,0,0
2022-06-23 10:41:30,0,0
2022-06-23 10:41:29,0,0
2022-06-23 10:41:28,0,0
2022-06-23 10:41:27,0,0
2022-06-23 10:41:26,0,0
2022-06-23 10:41:25,0,0
2022-06-23 10:41:24,0,0
2022-06-23 10:41:23,0,0
2022-06-23 10:41:22,0,0
2022-06-23 10:41:21,0,0
2022-06-23 10:41:20,0,0
2022-06-23 10:41:19,0,0
2022-06-23 10:41:18,0,0
2022-06-23 10:41:17,0,0
2022-06-23 10:41:16,0,0
2022-06-23 10:41:15,0,0
2022-06-23 10:41:14,0,0
2022-06-23 10:41:13,0,0
2022-06-23 10:41:12,0,0
2022-06-23 10:41:11,0,0
2022-06-23 10:41:10,0,0
2022-06-23 10:41:09,0,0
2022-06-23 10:41:08,0,0
2022-06-23 10:41:07,0,0
2022-06-23 10:41:06,0,0
2022-06-23 10:41:05,0,0
2022-06-23 10:41:04,0,0
2022-06-23 10:41:03,0,0
2022-06-23 10:41:02,0,0
2022-06-23 10:41:01,0,0
2022-06-23 10:41:00,0,0
2022-06-23 10:40:59,0.1990978,-0.3420398
2022-06-23 10:40:58,0.4249022,-0.7299602
2022-06-23 10:40:57,0,0
2022-06-23 10:40:56,0,0
2022-06-23 10:40:55,0,0
2022-06-23 10:40:54,0,0
2022-06-23 10:40:53,0,0
2022-06-23 10:40:52,0,0
2022-06-23 10:40:51,0,0
2022-06-23 10:40:50,0,0
2022-06-23 10:40:49,0,0
2022-06-23 10:40:48,0,0
2022-06-23 10:40:47,0,0
2022-06-23 10:40:46,0.7968132,-0.8376755
2022-06-23 10:40:45,1.699187,-1.786325
2022-06-23 10:40:44,0,0
2022-06-23 10:40:43,0,0
2022-06-23 10:40:42,0,0
2022-06-23 10:40:41,0,0
2022-06-23 10:40:40,0,0
2022-06-23 10:40:39,0,0
2022-06-23 10:40:38,0,0
2022-06-23 10:40:37,0,0
2022-06-23 10:40:36,0,0
2022-06-23 10:40:35,0,0
2022-06-23 10:40:34,0,0
2022-06-23 10:40:33,0,0
2022-06-23 10:40:32,0,0
2022-06-23 10:40:31,0,0
2022-06-23 10:40:30,0,0
2022-06-23 10:40:29,0,0
2022-06-23 10:40:28,0,0
2022-06-23 10:40:27,0,0
2022-06-23 10:40:26,0,0
2022-06-23 10:40:25,0,0
2022-06-23 10:40:24,0,0
2022-06-23 10:40:23,0,0
2022-06-23 10:40:22,0,0
2022-06-23 10:40:21,0,0
2022-06-23 10:40:20,0,0
2022-06-23 10:40:19,0,0
2022-06-23 10:40:18,0,0
2022-06-23 10:40:17,0,0
2022-06-23 10:40:16,0,0
2022-06-23 10:40:15,0.1990742,-0.3419993
2022-06-23 10:40:14,0.4249258,-0.7300007
2022-06-23 10:40:13,0,0
2022-06-23 10:40:12,0,0
2022-06-23 10:40:11,0,0
2022-06-23 10:40:10,0,0
2022-06-23 10:40:09,0,0
2022-06-23 10:40:08,0,0
2022-06-23 10:40:07,0,0
2022-06-23 10:40:06,0,0
2022-06-23 10:40:05,0,0
2022-06-23 10:40:04,0,0
2022-06-23 10:40:03,0,0
2022-06-23 10:40:02,0,0
2022-06-23 10:40:01,0,0
2022-06-23 10:40:00,0,0
2022-06-23 10:39:59,0,0
2022-06-23 10:39:58,0,0
2022-06-23 10:39:57,0,0
2022-06-23 10:39:56,0,0
2022-06-23 10:39:55,0,0
2022-06-23 10:39:54,0,0
2022-06-23 10:39:53,0,0
2022-06-23 10:39:52,0,0
2022-06-23 10:39:51,0,0
2022-06-23 10:39:50,0,0
2022-06-23 10:39:49,0,0
2022-06-23 10:39:48,0,0
2022-06-23 10:39:47,0,0
2022-06-23 10:39:46,0,0
2022-06-23 10:39:45,0,0
2022-06-23 10:39:44,0,0
2022-06-23 10:39:43,0,0
2022-06-23 10:39:42,0,0
2022-06-23 10:39:41,0,0
2022-06-23 10:39:40,0,0
2022-06-23 10:39:39,0,0
2022-06-23 10:39:38,0,0
2022-06-23 10:39:37,0,0
2022-06-23 10:39:36,0,0
2022-06-23 10:39:35,0,0
2022-06-23 10:39:34,0,0
2022-06-23 10:39:33,0,0
2022-06-23 10:39:32,0,0
2022-06-23 10:39:31,0,0
2022-06-23 10:39:30,0.199151,-0.3421312
